epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
127,23991,0.04566,0.97477,1,0.09356,0.00308412,0.00308412,0.00308412
128,24181.1,0.04828,0.97437,1,0.09191,0.003013,0.003013,0.003013
129,24368.9,0.04368,0.97437,1,0.09197,0.00294239,0.00294239,0.00294239
130,24557.4,0.04606,0.97457,1,0.09217,0.0028723,0.0028723,0.0028723
131,24746.5,0.0432,0.97437,1,0.09281,0.00280275,0.00280275,0.00280275
132,24934.6,0.04072,0.97398,1,0.09255,0.00273375,0.00273375,0.00273375
133,25124.1,0.04857,0.97378,1,0.09291,0.00266532,0.00266532,0.00266532
134,25311.1,0.03929,0.97378,1,0.09319,0.00259748,0.00259748,0.00259748
135,25500.6,0.04183,0.97398,1,0.09347,0.00253024,0.00253024,0.00253024
136,25690.2,0.0374,0.97398,1,0.09363,0.00246363,0.00246363,0.00246363
137,25879.8,0.04119,0.97398,1,0.09382,0.00239766,0.00239766,0.00239766
138,26068.7,0.03866,0.97378,1,0.09408,0.00233234,0.00233234,0.00233234
139,26258,0.03673,0.97318,1,0.09447,0.00226769,0.00226769,0.00226769
140,26446,0.0359,0.97358,1,0.09487,0.00220372,0.00220372,0.00220372
141,26635.3,0.03471,0.97378,1,0.09535,0.00214046,0.00214046,0.00214046
142,26823.2,0.03579,0.97358,1,0.09579,0.00207792,0.00207792,0.00207792
143,27013.8,0.03481,0.97358,1,0.09617,0.00201611,0.00201611,0.00201611
144,27201.7,0.03547,0.97358,1,0.09649,0.00195505,0.00195505,0.00195505
145,27392.1,0.03726,0.97338,1,0.09669,0.00189475,0.00189475,0.00189475
146,27578.5,0.03348,0.97338,1,0.09689,0.00183523,0.00183523,0.00183523
147,27768.1,0.03276,0.97358,1,0.09716,0.00177651,0.00177651,0.00177651
148,27954.9,0.03198,0.97378,1,0.09749,0.00171859,0.00171859,0.00171859
149,28144,0.03274,0.97378,1,0.09792,0.00166149,0.00166149,0.00166149
150,28332.6,0.03099,0.97378,1,0.09846,0.00160523,0.00160523,0.00160523
