ID,Protein_type,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000
F106,BGG,150,6.6,1,71.5,25,Histidine,6,100,NaCl,140,Sucrose,0.75,tween-80,0.2,5.7,5.7,5.7,5.23,4.9
F107,poly-hIgG,150,7.6,1,135,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.2,4,4,4,3.7,3.1
F108,poly-hIgG,150,7.6,1,174,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.1,7.5,7.5,7.5,6.3,4.82
F109,poly-hIgG,150,7.6,1,89,25,Histidine,6,100,NaCl,140,Sucrose,0.5,tween-20,0.05,4.3,4.6,4.7,4.56,3.77
F110,poly-hIgG,150,7.6,1,63,25,Histidine,6,100,NaCl,140,Sucrose,1,tween-80,0.15,6.8,6.8,6.8,6.8,6.8
F111,poly-hIgG,150,7.6,1,202,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.02,13.7,13.4,13.4,9.7,5.04
F112,poly-hIgG,150,7.6,1,202,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.02,12.7,11.2,11.2,8.9,6.33
F113,poly-hIgG,150,7.6,1,211,25,PBS,7.4,10,NaCl,140,none,0,tween-20,0.02,14.9,13.9,12.3,9,6
F114,poly-hIgG,150,7.6,1,211,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.02,13.8,13.8,13.8,9.2,6
F115,BSA,66,4.7,0.3,98,25,Histidine,6,100,NaCl,140,none,0,none,0,1.55,1.55,1.55,1.55,1.45
F116,BSA,66,4.7,0.3,127,25,Histidine,6,100,NaCl,140,none,0,none,0,3,2.5,2.5,2.4,2.3
F117,BSA,66,4.7,0.3,194,25,Histidine,6,100,NaCl,140,none,0,none,0,4.17,4.17,4.17,3.8,2.5
F118,BSA,66,4.7,0.3,266,25,Histidine,6,100,NaCl,140,none,0,none,0,13.45,8.7,8.7,7.5,5.5
F119,BSA,66,4.7,0.3,72,25,PBS,7.4,10,NaCl,140,none,0,none,0,1.9,1.83,1.75,1.7,1.66
F120,BSA,66,4.7,0.3,131,25,PBS,7.4,10,NaCl,140,none,0,none,0,3.7,3,2.5,2.2,1.7
F121,BSA,66,4.7,0.3,183,25,PBS,7.4,10,NaCl,140,none,0,none,0,4.1,3.87,3.5,3,2
F122,BSA,66,4.7,0.3,265,25,PBS,7.4,10,NaCl,140,none,0,none,0,7.5,7.5,7.3,6.5,4.4
F123,BSA,66,4.7,0.3,193,25,Acetate,5,20,NaCl,140,none,0,none,0,5.8,5.8,5.8,5.5,3.35
F124,BSA,66,4.7,0.3,66,25,Acetate,5,20,NaCl,140,none,0,none,0,1.6,1.6,1.6,1.6,1.45
F125,BSA,66,4.7,0.3,110,25,Acetate,5,20,NaCl,140,none,0,none,0,2.45,2.45,2.45,2.4,1.25
F126,BSA,66,4.7,0.3,132,25,Acetate,5,20,NaCl,140,none,0,none,0,3,3,3,3,3
F127,poly-hIgG,150,7.6,1,213,25,Acetate,5,20,NaCl,140,none,0,none,0,14.7,13.58,12,7.8,4.35
F128,poly-hIgG,150,7.6,1,63,25,Acetate,5,20,NaCl,140,none,0,none,0,2,2,2,2,1.78
F129,poly-hIgG,150,7.6,1,101,25,Acetate,5,20,NaCl,140,none,0,none,0,2.65,2.65,2.65,2.55,2.4
F130,poly-hIgG,150,7.6,1,167,25,Acetate,5,20,NaCl,140,none,0,none,0,5,5,5,4,2.77
F131,BGG,150,6.6,1,203,25,Acetate,5,20,NaCl,140,none,0,none,0,20,17,16.5,12,4.58
F132,BGG,150,6.6,1,79,25,Acetate,5,20,NaCl,140,none,0,none,0,1.9,1.87,1.8,1.8,1.52
F133,BGG,150,6.6,1,108,25,Acetate,5,20,NaCl,140,none,0,none,0,2.9,2.9,2.9,2.8,2.16
F134,BGG,150,6.6,1,163,25,Acetate,5,20,NaCl,140,none,0,none,0,5.5,5.5,5.5,5.3,4.56
F135,BSA,66,4.7,0.3,150,25,Acetate,5,20,NaCl,140,Sucrose,0.51,none,0,5.5,5.5,5.5,5.4,4.11
