Viscosity,5MHz Correction,15MHz Correction
71.7,1,0.688650966
71.8,1,0.687993847
71.9,1,0.687337688
72,1,0.68668249
72.1,1,0.686028251
72.2,1,0.685374969
72.3,1,0.684722644
72.4,1,0.684071275
72.5,1,0.68342086
72.6,1,0.682771399
72.7,1,0.68212289
72.8,1,0.681475333
72.9,1,0.680828725
73,1,0.680183067
73.1,1,0.679538357
73.2,1,0.678894593
73.3,1,0.678251775
73.4,1,0.677609902
73.5,1,0.676968973
73.6,1,0.676328986
73.7,1,0.67568994
73.8,1,0.675051834
73.9,1,0.674414667
74,1,0.673778438
74.1,1,0.673143146
74.2,1,0.672508789
74.3,1,0.671875367
74.4,1,0.671242878
74.5,1,0.670611321
74.6,1,0.669980695
74.7,1,0.669350998
74.8,1,0.66872223
74.9,1,0.66809439
75,1,0.667467476
75.1,1,0.666841487
75.2,1,0.666216422
75.3,1,0.665592279
75.4,1,0.664969058
75.5,1,0.664346758
75.6,1,0.663725376
75.7,1,0.663104913
75.8,1,0.662485366
75.9,1,0.661866735
76,1,0.661249018
76.1,1,0.660632214
76.2,1,0.660016322
76.3,1,0.659401341
76.4,1,0.65878727
76.5,1,0.658174106
76.6,1,0.65756185
76.7,1,0.6569505
76.8,1,0.656340054
76.9,1,0.655730512
77,1,0.655121872
77.1,1,0.654514133
77.2,1,0.653907294
77.3,1,0.653301354
77.4,1,0.65269631
77.5,1,0.652092163
77.6,1,0.651488911
77.7,1,0.650886552
77.8,1,0.650285085
77.9,1,0.64968451
78,1,0.649084824
78.1,1,0.648486028
78.2,1,0.647888118
78.3,1,0.647291095
78.4,1,0.646694956
78.5,1,0.646099702
78.6,1,0.645505329
78.7,1,0.644911838
78.8,1,0.644319227
78.9,1,0.643727494
79,1,0.643136639
79.1,1,0.64254666
79.2,1,0.641957555
79.3,1,0.641369325
79.4,1,0.640781966
79.5,1,0.640195479
79.6,1,0.639609861
79.7,1,0.639025113
79.8,1,0.638441231
79.9,1,0.637858215
80,1,0.637276064
80.1,1,0.636694777
80.2,1,0.636114352
80.3,1,0.635534788
80.4,1,0.634956083
80.5,1,0.634378237
80.6,1,0.633801248
80.7,1,0.633225115
80.8,1,0.632649837
80.9,1,0.632075411
81,1,0.631501838
81.1,1,0.630929116
81.2,1,0.630357243
81.3,1,0.629786218
81.4,1,0.62921604
81.5,1,0.628646708
81.6,1,0.628078221
81.7,1,0.627510576
81.8,1,0.626943773
81.9,1,0.626377811
82,1,0.625812688
82.1,1,0.625248403
82.2,1,0.624684955
82.3,1,0.624122342
82.4,1,0.623560563
82.5,1,0.622999617
82.6,1,0.622439503
82.7,1,0.621880219
82.8,1,0.621321764
82.9,1,0.620764136
83,1,0.620207335
83.1,1,0.61965136
83.2,1,0.619096208
83.3,1,0.618541879
83.4,1,0.617988371
83.5,1,0.617435683
83.6,1,0.616883814
83.7,1,0.616332762
83.8,1,0.615782527
83.9,1,0.615233107
84,1,0.6146845
84.1,1,0.614136705
84.2,1,0.613589722
84.3,1,0.613043548
84.4,1,0.612498183
84.5,1,0.611953625
84.6,1,0.611409873
84.7,1,0.610866925
84.8,1,0.610324781
84.9,1,0.60978344
85,1,0.609242899
85.1,1,0.608703157
85.2,1,0.608164214
85.3,1,0.607626067
85.4,1,0.607088717
85.5,1,0.606552161
85.6,1,0.606016398
85.7,1,0.605481426
85.8,1,0.604947246
85.9,1,0.604413855
86,1,0.603881251
86.1,1,0.603349435
86.2,1,0.602818404
86.3,1,0.602288157
86.4,1,0.601758694
86.5,1,0.601230012
86.6,1,0.60070211
86.7,1,0.600174987
86.8,1,0.599648643
86.9,1,0.599123074
87,1,0.598598282
87.1,1,0.598074263
87.2,1,0.597551017
87.3,1,0.597028543
87.4,1,0.596506838
87.5,1,0.595985903
87.6,1,0.595465736
87.7,1,0.594946335
87.8,1,0.594427699
87.9,1,0.593909827
88,1,0.593392717
88.1,1,0.59287637
88.2,1,0.592360782
88.3,1,0.591845953
88.4,1,0.591331882
88.5,1,0.590818567
88.6,1,0.590306007
88.7,1,0.589794201
88.8,1,0.589283148
