feature,importance
t89_f51,0.0002139546
t12_f1,0.00021392637
t106_f3,0.00021377348
t60_f34,0.00021376762
t4_f52,0.000213562
t98_f30,0.00021348904
t85_f41,0.00021338787
t25_f34,0.00021323952
t8_f34,0.0002128347
t115_f0,0.00021270462
t8_f31,0.00021201509
t36_f43,0.00021198668
t22_f63,0.0002116583
t86_f50,0.00021149675
t35_f29,0.00021119046
t70_f43,0.00021113853
t70_f61,0.00021091262
t27_f63,0.00021082337
t94_f34,0.00021076972
t17_f41,0.00021038039
t118_f62,0.0002103484
t111_f30,0.00020998716
t96_f6,0.00020972705
t84_f51,0.00020953259
t115_f31,0.00020940976
t57_f44,0.00020928973
t3_f0,0.00020914452
t65_f62,0.00020908988
t66_f40,0.00020890104
t19_f45,0.00020881479
t108_f63,0.0002086317
t17_f63,0.00020840371
t123_f31,0.00020831254
t79_f45,0.00020825728
t118_f18,0.00020814537
t111_f45,0.00020800567
t52_f50,0.0002079739
t96_f17,0.00020791731
t5_f43,0.0002072379
t23_f63,0.00020693497
t16_f57,0.0002067999
t73_f30,0.00020665837
t75_f41,0.00020578732
t100_f52,0.00020551025
t108_f7,0.00020519005
t1_f44,0.00020515213
t20_f63,0.00020503359
t117_f51,0.00020493768
t20_f44,0.00020462075
t48_f47,0.00020455217
t51_f62,0.00020440003
t24_f50,0.00020437416
t44_f19,0.0002042966
t112_f42,0.00020373377
t63_f40,0.0002036587
t68_f63,0.00020365477
t14_f63,0.00020356105
t2_f63,0.0002030706
t116_f23,0.00020299791
t56_f56,0.00020261364
t66_f52,0.00020252808
t114_f63,0.00020252654
t42_f51,0.00020247926
t70_f12,0.0002020772
t0_f42,0.00020177483
t4_f58,0.00020162533
t64_f31,0.00020151613
t16_f1,0.00020136642
t109_f44,0.00020121719
t101_f59,0.00020093335
t113_f25,0.00020043335
t37_f55,0.00020031004
t48_f0,0.00020008441
t126_f31,0.00019996059
t93_f0,0.0001997216
t113_f43,0.00019928097
t74_f63,0.00019924084
t11_f62,0.00019918586
t56_f57,0.00019913595
t24_f1,0.0001990847
t83_f45,0.00019907021
t32_f53,0.00019903423
t33_f57,0.00019875543
t102_f52,0.00019840841
t123_f34,0.00019834889
t46_f38,0.00019829354
t102_f50,0.00019801062
t12_f52,0.00019773499
t19_f52,0.00019768903
t58_f44,0.00019742285
t52_f1,0.00019722644
t93_f47,0.00019696043
t55_f45,0.00019629816
t125_f44,0.00019628776
t44_f29,0.00019628707
t116_f61,0.0001958381
t115_f12,0.00019526992
t70_f59,0.00019490386
t71_f52,0.00019452196
t123_f42,0.0001945095
t5_f63,0.00019424535
t68_f29,0.00019421602
t7_f40,0.00019420126
t51_f12,0.00019370975
t18_f0,0.00019365572
t32_f21,0.00019363535
t41_f56,0.0001934987
t27_f34,0.00019322465
t109_f19,0.00019315521
t122_f42,0.00019302634
t109_f12,0.00019211456
t10_f31,0.00019210971
t46_f41,0.00019203784
t73_f63,0.00019194979
t23_f61,0.00019193975
t117_f56,0.00019192544
t90_f42,0.00019146729
t56_f53,0.00019104547
t104_f42,0.00019070118
t127_f24,0.0001906813
t3_f61,0.000190529
t24_f34,0.00019027201
t98_f23,0.0001902625
t11_f16,0.00018995447
t18_f60,0.00018991841
t57_f45,0.00018945639
t88_f43,0.00018942046
t76_f12,0.00018918299
t48_f52,0.00018884259
t34_f57,0.00018882834
t115_f5,0.0001884989
t42_f16,0.0001881991
t84_f63,0.00018797975
t103_f45,0.00018788631
t34_f41,0.00018779983
t118_f0,0.00018737743
t16_f45,0.00018713842
t18_f52,0.00018695967
t1_f31,0.00018682962
t59_f39,0.00018655664
t34_f29,0.00018647952
